Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
,US East (N. Virginia),Amazon EC2,0,7550.21,90602.52,USD,"Operating system (Linux), Quantity (12), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (4 TB), Instance type (t3a.2xlarge)"
,US East (N. Virginia),Amazon RDS for MySQL,0,7712.16,92545.92,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (4 TB), Instance type (db.m5.12xlarge), Additional backup storage (8 TB)"
,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,526.50,6318,USD,Number of NAT Gateways (2)
,US East (N. Virginia),Elastic Load Balancing,0,324.85,3898.2,USD,Number of Application Load Balancers (2)
,US East (N. Virginia),Elastic Load Balancing,0,383.25,4599,USD,"Number of Network Load Balancers (2), Processed bytes per NLB for TCP (20 GB per hour), Average number of new TCP connections (10 per second), Average TCP connection duration (10 seconds), Processed bytes per NLB for UDP (10 GB per hour), Average number of new UDP Flows (100 per second), Average UDP Flow duration (100 seconds), Processed bytes per NLB for TLS (10 GB per hour), Average number of new TLS connections (100 per second), Average TLS connection duration (100 seconds)"
,US East (N. Virginia),S3 Standard,0,944.84,11338.08,USD,S3 Standard storage (40 TB per month)
,US East (N. Virginia),Data Transfer,0,0.00,0,USD,Data Transfer
,US East (N. Virginia),Amazon CloudWatch,0,665.91,7990.91,USD,
,,,,,,,
,,,,18107.72,,,
,,,,,,,
