Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
,US East (N. Virginia),Amazon EC2,0,2739.82,32877.84,USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (2 TB), Instance type (t3a.2xlarge)"
,US East (N. Virginia),Amazon RDS for MySQL,0,2232.80,26793.6,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Instance type (db.m5.4xlarge)"
,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,342.18,4106.16,USD,Number of NAT Gateways (2)
,US East (N. Virginia),Elastic Load Balancing,0,133.23,1598.76,USD,Number of Application Load Balancers (1)
,US East (N. Virginia),Elastic Load Balancing,0,147.83,1773.96,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (20 GB per hour), Average number of new TCP connections (10 per second), Average TCP connection duration (10 seconds), Processed bytes per NLB for UDP (10 GB per hour)"
,US East (N. Virginia),S3 Standard,0,473.80,5685.6,USD,S3 Standard storage (20 TB per month)
,US East (N. Virginia),Data Transfer,0,0.00,0,USD,"Inbound (from: Internet) 0 TB per month 
 Outbound (to: All other regions) 0 TB per month"
,US East (N. Virginia),Amazon CloudWatch,0,132.01,1584.11,USD,
,,,,,,,
total,,,,6201.67,,,
,,,,,,,
